Date,Steps
1-Apr,4754
2-Apr,4105
3-Apr,2776
4-Apr,2191
5-Apr,3051
6-Apr,4883
7-Apr,3514
8-Apr,4753
9-Apr,4003
10-Apr,3959
11-Apr,2666
12-Apr,2286
13-Apr,3741
14-Apr,2925
15-Apr,4857
16-Apr,2848
17-Apr,3047
18-Apr,2347
19-Apr,2506
20-Apr,4982
21-Apr,3978
22-Apr,3785
23-Apr,2539
24-Apr,3981
25-Apr,2938
26-Apr,3377
27-Apr,3106
28-Apr,4862
29-Apr,2019
30-Apr,2611
1-May,2205
2-May,3627
3-May,3178
4-May,2578
5-May,2609
6-May,3216
7-May,4861
8-May,2718
9-May,3803
10-May,2097
11-May,3092
12-May,3543
13-May,4994
14-May,2298
15-May,4985
16-May,2524
17-May,2593
18-May,2884
19-May,2953
20-May,3478
21-May,4794
22-May,3168
23-May,4577
24-May,2148
25-May,2418
26-May,3925
27-May,2929
28-May,2336
29-May,2548
30-May,2000
